WGS	bowtie2	34.37	4.06
WGS	bwa-mem	30.37	9.77
WGS	bwa-mem2	50.79	26.02
WGS	bwa-mem3	65.62	27.91
WGS	bwa-meme	74.57	131.26
WGS	minibwa	135.82	8.28
WGS	minimap2	60.89	12.93
WGS	strobealign	149.96	63.53
Hi-C	bowtie2	41.89	3.99
Hi-C	bwa-mem	25.42	11.76
Hi-C	bwa-mem2	51.31	27.64
Hi-C	bwa-mem3	67.21	28.71
Hi-C	bwa-meme	70.74	134.11
Hi-C	minibwa	101.22	8.60
Hi-C	minimap2	73.38	13.71
Hi-C	strobealign	75.08	44.96
SBX	bowtie2	28.27	5.24
SBX	bwa-mem	27.73	8.42
SBX	bwa-mem2	39.51	25.47
SBX	bwa-mem3	54.14	35.33
SBX	bwa-meme	65.54	131.58
SBX	minibwa	102.38	8.52
SBX	minimap2	82.27	13.36
SBX	strobealign	114.71	89.75
HiFi	minibwa	117.57	14.87
HiFi	minimap2	77.04	24.97
HiFi	winnowmap2	7.76	23.87
ONT	minibwa	103.03	16.22
ONT	minimap2	83.76	25.78
ONT	winnowmap2	7.95	30.52
BS-seq	bismark	3.50	0
BS-seq	biscuit	12.89	24.64
BS-seq	bwa-meth	19.09	56.60
BS-seq	minibwa	50.17	15.35
